# s xi^s_0(s)
0.0550984 -0.886957
0.179764 -0.810230
0.292165 -0.738619
0.412705 -0.626087
0.529099 -0.459847
0.659756 -0.242455
0.780213 -0.0493606
0.900737 0.0785166
1.01519 0.139898
1.13993 0.145013
1.25653 0.110486
1.37518 0.0708440
1.49587 0.0427110
1.61654 0.0209719
1.73721 0.00946292
1.85582 0.00306905
1.97852 0.00179028
2.09714 -0.000767263
2.21984 0.000511509
2.33640 -0.000767263
2.46114 0.00179028
2.57771 -0.000767263
2.69836 0.000511509
2.81697 -0.000767263
2.93967 0.00179028
