# s xi^s_0(s)
0.0570754 -0.820460
0.177704 -0.794885
0.296254 -0.737340
0.416797 -0.628645
0.535234 -0.459847
0.655662 -0.238619
0.776109 -0.0352941
0.896634 0.0913043
1.01723 0.143734
1.13585 0.141176
1.25449 0.111765
1.37518 0.0772379
1.49790 0.0491049
1.61654 0.0273657
1.73925 0.0107417
1.85582 0.00306905
1.97648 0.00179028
2.09509 0.000511509
2.21779 0.000511509
2.33640 0.00306905
2.45910 0.00179028
2.57771 0.000511509
2.69836 0.00306905
2.81901 0.00434783
2.93762 0.00562660
